REF_DATE,GEO,DGUID,Statistics,Characteristics,"Income, consumption and savings",UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
1999,Canada,2016A000011124,Value,All households,Household disposable income,Dollars,81,millions,6,v116885914,1.1.1.1,546261,,,,0
1999,Canada,2016A000011124,Value,All households,Compensation of employees,Dollars,81,millions,6,v116885915,1.1.1.2,506817,,,,0
1999,Canada,2016A000011124,Value,All households,Net mixed income,Dollars,81,millions,6,v116885916,1.1.1.3,97809,,,,0
1999,Canada,2016A000011124,Value,All households,Property income received,Dollars,81,millions,6,v116885917,1.1.1.4,111791,,,,0
1999,Canada,2016A000011124,Value,All households,Less: property income paid,Dollars,81,millions,6,v116885918,1.1.1.5,36406,,,,0
1999,Canada,2016A000011124,Value,All households,Current transfers received,Dollars,81,millions,6,v116885919,1.1.1.6,129447,,,,0
1999,Canada,2016A000011124,Value,All households,Less: current transfers paid,Dollars,81,millions,6,v116885920,1.1.1.7,263197,,,,0
1999,Canada,2016A000011124,Value,All households,Social transfers in kind (STiK),Dollars,81,millions,6,v1059426362,1.1.1.24,140533,,,,0
1999,Canada,2016A000011124,Value,All households,Social transfers in kind (STiK): education,Dollars,81,millions,6,v1059426363,1.1.1.25,49473,,,,0
1999,Canada,2016A000011124,Value,All households,Social transfers in kind (STiK): health,Dollars,81,millions,6,v1059426364,1.1.1.26,62634,,,,0
1999,Canada,2016A000011124,Value,All households,Social transfers in kind (STiK): other,Dollars,81,millions,6,v1059426365,1.1.1.27,28426,,,,0
1999,Canada,2016A000011124,Value,All households,Adjusted household disposable income,Dollars,81,millions,6,v1059426366,1.1.1.28,686794,,,,0
1999,Canada,2016A000011124,Value,All households,Household final consumption expenditure (HFCE),Dollars,81,millions,6,v116885921,1.1.1.8,553506,,,,0
1999,Canada,2016A000011124,Value,All households,Food and non-alcoholic beverages,Dollars,81,millions,6,v116885922,1.1.1.9,53875,,,,0
