Stock,VaR@90%,VaR@95%,VaR@99%
L3Harris,-3481.712905740155,-4524.445494264698,-6531.323422680494
LabCorp,-2854.7417354723993,-3786.3462173478374,-5350.077573835923
Lam Research,-5804.090823437144,-7443.113412345535,-9892.8868693885
Lamb Weston,-5207.2619816423085,-6628.38211193855,-9050.245885928865
Las Vegas Sands,-6798.049793184747,-8563.266113513577,-11175.289986374195
Leidos,-4226.2684282166665,-5457.6324592075125,-7535.2070855604115
Lennar,-6008.651432866819,-7405.811868018197,-10107.063323054552
Lilly (Eli),-3771.566473492547,-4876.011281738162,-7161.791330964283
Linde plc,-2140.9794766622003,-3009.287380690186,-4489.306278160677
Live Nation Entertainment,-5738.096104135221,-7281.777617015485,-10062.139817349567
LKQ Corporation,-4358.105572059122,-5679.959543785018,-8054.859668731458
Lockheed Martin,-2717.3157690491303,-3611.0064880569075,-5252.963188422957
Loews Corporation,-2958.8087454551696,-3909.001945198211,-5741.093106886637
Lowe's,-4460.284705699433,-5601.774855356322,-7797.476197025747
Lululemon Athletica,-7787.087126907452,-9763.54552223473,-12717.465085450003
LyondellBasell,-6225.466790394071,-7912.7612584509125,-10449.482150505277
M&T Bank,-3892.2528701361925,-5135.313595868886,-7162.086278241256
Marathon Oil,-9738.488802013526,-11819.863260301108,-15220.836449093162
Marathon Petroleum,-6522.388060220259,-8040.172207569724,-10963.689484269982
MarketAxess,-6033.266979431777,-7523.756078769735,-9949.408167992658
Marriott International,-4748.07469111772,-5940.8892354433665,-8041.320819022034
Marsh McLennan,-1881.3111333076674,-2590.772757729731,-4093.110900842321
Martin Marietta Materials,-4675.793460184092,-5973.189194314521,-8256.299680676417
Masco,-4920.453437930861,-6142.465652408131,-8514.86442339298
Mastercard,-2915.4073610626656,-3831.1168190377034,-5549.246797136205
Match Group,-7712.896466896275,-9771.293164415534,-12620.056750884893
McCormick & Company,-2759.656219169027,-3782.78071107504,-5351.6675708065995
McDonald's,-2127.8243870847114,-2946.053595251874,-4347.722424628372
McKesson Corporation,-3971.169541358051,-5216.987617458086,-7236.937094491192
Medtronic,-2980.3896032196003,-3944.7176458478625,-5791.236089983447
Merck & Co.,-2265.29461247935,-3004.502617509151,-4631.4948148626345
Meta Platforms,-8494.540742022906,-10520.951457262323,-14050.627540325544
MetLife,-4183.9211132586015,-5371.002348351393,-7749.753405475837
Mettler Toledo,-4319.925655361873,-5457.814930513522,-7438.047276716058
MGM Resorts,-7181.1875829890905,-8735.962957994594,-11799.734177282446
Microchip Technology,-3958.0655964886873,-5176.125370677081,-7223.361049382227
Micron Technology,-9343.867317583701,-11400.68238636349,-14640.846057260365
Microsoft,-3013.0421614504435,-3958.5188713616035,-5751.539119382087
Mid-America Apartment Communities,-3194.28203452017,-4245.106510485791,-6019.675773719526
Moderna,-19684.70080045344,-22092.81675242484,-25415.736592509133
Mohawk Industries,-6801.578199901649,-8568.599333270102,-11254.652174196051
Molina Healthcare,-6349.871639325087,-7886.35028444866,-10852.853834680456
Molson Coors Beverage Company,-3730.039351146051,-4862.731984095464,-7006.396573939279
Mondelez International,-2269.9020159742536,-3060.8933589058697,-4553.722296000023
Monolithic Power Systems,-5430.340765814565,-6917.003380617444,-9573.648892397507
Monster Beverage,-4853.235095485911,-6301.807684147105,-8602.15698798237
Moody's Corporation,-3810.5956378367355,-4923.681716833289,-6996.395411023895
Morgan Stanley,-5660.520050899397,-7310.2235866834935,-9798.563891541511
Mosaic Company (The),-7511.814017034966,-9404.063074552776,-12486.922256153313
Motorola Solutions,-3220.4109066840483,-4296.313673747486,-5763.397727020975
MSCI,-4143.4759073870855,-5418.673619760958,-7431.735498137975
"Nasdaq, Inc.",-3337.7991560276673,-4423.653977907408,-6120.09271877405
NetApp,-6251.942772838099,-7976.112517214313,-10734.31859462747
Netflix,-12382.67648898218,-14610.51290165618,-18392.126877194343
Newmont,-6638.130265004207,-8239.397665476401,-11343.114127659559
News Corp (Class A),-5486.440249265122,-6893.085301103686,-9388.365147774724
News Corp (Class B),-5118.835661951189,-6592.656463272803,-8953.457488511445
NextEra Energy,-2412.174473317276,-3307.4034689807427,-4730.7443008207665
"Nike, Inc.",-4023.347343926488,-5281.34968482156,-7367.801457206435
NiSource,-2392.853452341705,-3179.077339157365,-4582.8788003068275
Nordson Corporation,-3897.894163808455,-4949.806672790783,-6927.709516858024
Norfolk Southern Railway,-3496.3619548792435,-4540.184141890283,-6352.507958701691
Northern Trust,-3496.749431930103,-4574.245554159803,-6448.3167611245835
Northrop Grumman,-3316.252645646432,-4286.755867393005,-6319.16102228879
Norwegian Cruise Line Holdings,-7510.585821042182,-9336.93879571788,-12463.074147714977
NRG Energy,-6585.752673842811,-8194.485818668998,-11273.014502606411
Nucor,-5553.831267265806,-7178.978856517702,-9752.147940132912
Nvidia,-11566.777118049697,-13693.845606418237,-17356.0616832692
"NVR, Inc.",-4453.658669651061,-5737.214065275132,-8025.427429286518
NXP Semiconductors,-7994.015528491867,-9690.790558946503,-12724.523783410094
O'Reilly Auto Parts,-3338.0573888788267,-4429.233737498827,-6351.554893847189
Occidental Petroleum,-8504.215683476537,-10388.152938462263,-13389.34724897566
Old Dominion,-4217.823731037126,-5498.868600008952,-7418.4416713836
Omnicom Group,-3890.0835328175954,-5135.163708227656,-7194.23986811265
ON Semiconductor,-7286.98063870807,-9059.17291054948,-12141.596471632462
ONEOK,-6890.60964162826,-8692.722928673747,-11672.162825530657
Oracle Corporation,-3470.051062022316,-4498.629497802772,-6376.019773105173
Otis Worldwide,-3385.0317481243433,-4543.841022617511,-6333.403833367654
Paccar,-3325.606817958318,-4398.150043054585,-6374.971291795294
Packaging Corporation of America,-4214.2780192479095,-5336.481956440305,-7354.422821090819
Palo Alto Networks,-6262.765968835095,-8008.682164752125,-10631.707706313198
Paramount Global,-7953.905525380269,-10057.610694410972,-13190.55100839185
Parker Hannifin,-4548.610152784398,-5825.975834018824,-7982.109015041414
Paychex,-2726.0514472808723,-3631.5557545411316,-5189.039298705639
Paycom,-8432.399484811303,-10457.562284290503,-13726.308410629132
PayPal,-7279.69209573093,-9406.021815147556,-12611.01248025156
Pentair,-4593.410020000249,-5930.562217266483,-8132.208023371802
PepsiCo,-1360.1349630927903,-1912.9033456556995,-3004.44275406084
Pfizer,-3117.92717215318,-3979.217588096524,-5875.346206785333
PG&E Corporation,-5678.980211104617,-7242.625244409272,-9923.974689077513
Philip Morris International,-2784.3237854043145,-3732.747377212279,-5370.487352786584
Phillips 66,-5270.494905092714,-6897.325812182021,-9332.643313543642
Pinnacle West,-2120.6129381537203,-3031.2541722066335,-4601.217536584961
PNC Financial Services,-4437.907723030084,-5617.776645617532,-7786.007325656796
Pool Corporation,-3965.0411306161322,-5076.855252358418,-7125.109587439522
PPG Industries,-3737.514377795897,-4811.7914609206155,-7051.08952686533
PPL Corporation,-2207.648960718261,-2984.8045653315244,-4329.700180604707
Principal Financial Group,-4637.926654609027,-6020.094005605236,-8534.831989934946
Procter & Gamble,-2052.3772203999274,-2796.5414410993717,-4260.0848910004
Progressive Corporation,-2737.4754708531755,-3635.9200589743414,-5376.2086108308395
Prologis,-3560.026185757057,-4618.422359911848,-6480.144863835481
Prudential Financial,-4594.149501412471,-5738.466665655996,-8041.480099745152
Public Service Enterprise Group,-1894.9847166285315,-2602.149713909678,-3772.564152400026
PTC,-5206.371022925765,-6576.083931767076,-8937.691637410684
Public Storage,-2813.6505609161354,-3643.4541466431565,-5352.979273790438
PulteGroup,-7927.504563410948,-9679.990189800084,-12761.893191602774
Qorvo,-6085.2114544388705,-7572.661308727194,-10339.077226688549
Quanta Services,-5438.992956703016,-7119.9465224814185,-9719.301630226371
Qualcomm,-5385.708299782222,-6903.716181793283,-9655.133510772797
Quest Diagnostics,-2864.252322323378,-3839.71772739869,-5503.291148526093
Ralph Lauren Corporation,-5572.843760130022,-7135.306927139693,-9725.050964250722
